Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
74,Jarrett Jack (GSW),79,7.9,17.5,45.20%,1.7,4.1,40.40%,3.4,4,84.30%,0.4,4.5,5,9,1.2,0.2,3.2,2.7,20.9,22.8
75,Antawn Jamison (LAL),76,7.8,16.9,46.40%,2.5,6.8,36.10%,2.8,4,69.10%,3.2,7.4,10.6,1.5,0.9,0.7,1.6,3.6,20.9,22.7
76,Robin Lopez (NOH),82,8.6,16.2,53.40%,0,0,0.00%,3.6,4.7,77.80%,5.1,5.3,10.4,1.4,0.7,2.9,2.5,3.8,20.9,25.3
77,Caron Butler (LAC),78,7.8,18.4,42.40%,3.3,8.4,38.80%,1.9,2.3,83.30%,1,4.6,5.7,2,1.3,0.3,1.8,3.5,20.8,17.2
78,MarShon Brooks (BKN),73,8.2,17.6,46.30%,0.8,2.9,27.30%,3.6,4.9,73.40%,1.7,3.8,5.5,4,1.8,0.8,3.6,4.9,20.7,18.4
79,O.J. Mayo (DAL),82,7.6,16.9,44.90%,2.3,5.8,40.70%,3.1,3.8,82.00%,0.6,4.2,4.8,5.9,1.5,0.4,3.5,3.2,20.7,19.9
80,Thaddeus Young (PHI),76,9.3,17.5,53.10%,0,0.1,12.50%,2,3.4,57.40%,3.3,7.1,10.4,2.3,2.4,1,1.6,3.5,20.6,25.4
81,Chandler Parsons (HOU),76,7.9,16.3,48.60%,2.6,6.9,38.50%,2,2.7,72.90%,1.4,5.7,7,4.7,1.3,0.6,2.6,2.6,20.5,22.4
82,Luol Deng (CHI),75,7.7,18.1,42.60%,1.2,3.9,32.20%,3.8,4.7,81.60%,2.7,5.2,7.9,3.7,1.3,0.5,2.4,1.7,20.5,20.3
83,Wesley Matthews (POR),69,7,16.1,43.60%,3.4,8.5,39.80%,3,3.7,79.70%,0.7,3.1,3.8,3.5,1.8,0.4,2.2,3.4,20.4,17.8
84,Serge Ibaka (OKC),80,8.6,15,57.30%,0.4,1.1,35.10%,2.8,3.7,74.90%,4.3,7.6,11.9,0.8,0.5,4.7,2.4,4.1,20.4,28.6
85,Ray Allen (MIA),79,6.9,15.4,44.90%,3.3,7.8,41.90%,3.3,3.7,88.60%,0.9,4.2,5.1,3.2,1.6,0.3,2.4,3,20.4,19.3
86,Mike Conley (MEM),80,7.2,16.4,44.00%,1.8,5.1,36.20%,4.1,4.9,83.00%,0.7,3.2,3.9,8.5,3,0.4,3.3,3,20.3,22.9
87,Brandon Knight (DET),75,7.2,17.8,40.70%,2.4,6.6,36.70%,3.3,4.6,73.30%,1.1,3.9,5,6.1,1.2,0.2,4.2,3.2,20.3,16.8
88,Tiago Splitter (SAS),81,7.6,13.5,56.00%,0,0,0.00%,5,6.9,73.00%,3.5,8.9,12.4,3.1,1.5,1.5,2.4,3.9,20.1,28.5
89,Brian Roberts (NOH),78,7.7,18.5,41.70%,2.1,5.5,38.60%,2.5,2.8,90.90%,0.6,2.9,3.5,7.9,1.3,0.1,2.6,3.9,20.1,19.4
