Rank,Player,GP,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
19,Blake Griffin (LAC),80,32.5,7.2,13.4,53.80%,0.1,0.4,17.90%,3.5,5.3,66.00%,2.3,6,8.3,3.7,1.2,0.6,2.3,18,21.5
20,Al Jefferson (UTA),78,33.1,7.8,15.8,49.40%,0,0.2,11.80%,2.1,2.8,77.00%,2,7.2,9.2,2.1,1,1.1,1.4,17.8,21.3
21,Kemba Walker (CHA),82,34.9,6.4,15.2,42.30%,1.3,4,32.20%,3.6,4.5,79.80%,0.7,2.7,3.5,5.7,1.9,0.4,2.4,17.7,17.2
22,Jrue Holiday (PHI),78,37.5,7.1,16.5,43.10%,1.2,3.2,36.80%,2.3,3.1,75.20%,1.1,3.1,4.2,8,1.6,0.4,3.7,17.7,18
23,Brandon Jennings (MIL),80,36.2,6.2,15.6,39.90%,2.2,5.8,37.50%,2.9,3.5,81.90%,0.7,2.3,3.1,6.5,1.6,0.1,2.5,17.5,16.2
24,Josh Smith (ATL),76,35.3,7.2,15.6,46.50%,0.8,2.6,30.30%,2.2,4.2,51.70%,1.8,6.7,8.4,4.2,1.2,1.8,3,17.5,19.8
25,Paul George (IND),79,37.6,6.2,14.9,41.90%,2.2,5.9,36.20%,2.8,3.5,80.70%,1.1,6.5,7.6,4.1,1.8,0.7,3,17.4,19.4
26,Al Horford (ATL),74,37.2,7.8,14.3,54.30%,0,0.1,50.00%,1.8,2.8,64.40%,2.6,7.6,10.2,3.2,1.1,1.1,2,17.4,23.5
27,David West (IND),73,33.4,6.9,13.8,49.80%,0.1,0.3,21.10%,3.3,4.3,76.80%,2,5.7,7.7,2.9,1,0.9,2.1,17.1,19.6
28,DeMarcus Cousins (SAC),75,30.5,6.4,13.8,46.50%,0.1,0.3,18.20%,4.2,5.6,73.80%,3,7,9.9,2.7,1.4,0.7,3,17.1,20
29,Dwight Howard (LAL),76,35.8,6.2,10.7,57.80%,0,0.1,16.70%,4.7,9.5,49.20%,3.3,9.1,12.4,1.4,1.1,2.5,3,17.1,22.2
30,Chris Paul (LAC),70,33.4,5.9,12.2,48.10%,1.1,3.3,32.80%,4.1,4.6,88.50%,0.8,3,3.7,9.7,2.4,0.1,2.3,16.9,23.8
31,Ty Lawson (DEN),73,34.4,6.1,13.3,46.10%,1.2,3.2,36.60%,3.2,4.3,75.60%,0.5,2.2,2.7,6.9,1.5,0.1,2.5,16.7,17.1
32,Chris Bosh (MIA),74,33.2,6.6,12.3,53.50%,0.3,1,28.40%,3.3,4.1,79.80%,1.8,5,6.8,1.7,0.9,1.4,1.7,16.6,19.1
33,Klay Thompson (GSW),82,35.8,6.2,14.7,42.20%,2.6,6.4,40.10%,1.6,1.9,84.10%,0.4,3.3,3.7,2.2,1.1,0.6,1.9,16.6,13.4
34,Jamal Crawford (LAC),76,29.3,5.9,13.4,43.80%,2,5.2,37.60%,2.8,3.3,87.10%,0.3,1.4,1.7,2.5,1,0.2,1.9,16.5,12.1
35,Luol Deng (CHI),75,38.7,6.2,14.6,42.60%,1,3.1,32.20%,3.1,3.8,81.60%,2.2,4.2,6.3,3,1.1,0.4,1.9,16.5,16.3
36,Joe Johnson (BKN),72,36.7,6.2,14.6,42.30%,2.1,5.5,37.50%,1.8,2.2,82.00%,0.7,2.3,3,3.5,0.7,0.2,1.7,16.3,13.1
37,Carlos Boozer (CHI),79,32.2,6.9,14.4,47.70%,0,0,0.00%,2.4,3.3,73.10%,2.2,7.5,9.8,2.3,0.8,0.3,2.2,16.2,18.8
38,Danilo Gallinari (DEN),71,32.5,5.1,12.3,41.80%,1.9,5.1,37.30%,4,4.9,82.20%,0.9,4.3,5.2,2.5,0.9,0.5,1.6,16.2,15.7
39,Ryan Anderson (NOH),81,30.9,5.8,13.8,42.30%,2.6,6.9,38.20%,1.9,2.2,84.40%,2.4,4,6.4,1.2,0.5,0.4,1.2,16.2,15.2
40,Greg Monroe (DET),81,33.2,6.3,13.1,48.60%,0,0,0.00%,3.3,4.8,68.90%,2.9,6.7,9.6,3.5,1.3,0.7,2.9,16,20
41,Chandler Parsons (HOU),76,36.3,6,12.4,48.60%,2,5.2,38.50%,1.5,2,72.90%,1,4.3,5.3,3.5,1,0.4,1.9,15.5,16.9
